DATE,CPIAUCSL_PC1,UNRATE,MICH
1978-01-01,6.81431,6.4,5.2
1978-02-01,6.23946,6.3,6.4
1978-03-01,6.37584,6.3,6.3
1978-04-01,6.5,6.1,6.7
1978-05-01,7.14286,6.0,6.9
1978-06-01,7.43802,5.9,6.5
1978-07-01,7.73026,6.2,6.6
1978-08-01,7.85597,5.9,8.7
1978-09-01,8.48287,6.0,6.9
1978-10-01,8.92857,5.8,7.4
1978-11-01,8.87097,5.9,7.5
1978-12-01,8.98876,6.0,7.3
1979-01-01,9.2504,5.9,7.8
1979-02-01,9.84127,5.9,9.3
1979-03-01,10.25237,5.8,8.8
1979-04-01,10.48513,5.8,9.7
1979-05-01,10.69767,5.6,9.8
1979-06-01,11.07692,5.7,9.9
1979-07-01,11.45038,5.7,9.9
1979-08-01,11.83612,6.0,9.9
1979-09-01,11.8797,5.9,9.6
1979-10-01,12.07154,6.0,9.0
1979-11-01,12.59259,5.9,10.0
1979-12-01,13.25479,6.0,9.9
1980-01-01,13.86861,6.3,10.4
1980-02-01,14.16185,6.3,10.0
1980-03-01,14.59227,6.3,10.2
1980-04-01,14.58924,6.9,10.1
1980-05-01,14.42577,7.5,8.6
1980-06-01,14.26593,7.6,8.5
1980-07-01,13.15068,7.8,9.6
1980-08-01,12.89009,7.7,7.6
1980-09-01,12.76882,7.5,9.1
1980-10-01,12.63298,7.5,9.6
1980-11-01,12.63158,7.5,8.6
1980-12-01,12.35371,7.2,9.7
1981-01-01,11.79487,7.5,9.5
1981-02-01,11.39241,7.4,8.6
1981-03-01,10.61174,7.4,7.2
1981-04-01,10.13597,7.2,8.0
1981-05-01,9.79192,7.5,7.3
1981-06-01,9.69697,7.5,7.1
1981-07-01,10.77482,7.2,6.8
1981-08-01,10.81731,7.4,5.8
1981-09-01,10.96544,7.6,6.9
1981-10-01,10.27155,7.9,6.7
1981-11-01,9.57944,8.3,7.3
1981-12-01,8.91204,8.5,5.3
1982-01-01,8.25688,8.6,5.1
1982-02-01,7.61364,8.9,5.2
1982-03-01,6.88488,9.0,4.2
1982-04-01,6.62177,9.3,4.7
1982-05-01,6.91193,9.4,3.5
1982-06-01,7.18232,9.6,4.6
1982-07-01,6.55738,9.8,5.0
1982-08-01,5.96529,9.8,4.8
1982-09-01,4.94092,10.1,4.5
1982-10-01,5.03212,10.4,4.7
1982-11-01,4.47761,10.8,4.5
1982-12-01,3.82572,10.8,3.7
1983-01-01,3.70763,10.4,2.8
